rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down
Mapk14,2.89E-46,-0.385852662,0.118,0.318,9.33E-42,-1.306631805,,,,
Ptprd,4.00E-28,-0.38658607,0.717,0.852,1.29E-23,-1.307296213,,,,
Fut8,1.01E-30,-0.390616688,0.229,0.417,3.26E-26,-1.310953659,,,,
Ankrd44,7.50E-42,-0.392426158,0.081,0.248,2.42E-37,-1.312598926,,,,
Defb1,6.23E-17,-0.393250234,0.487,0.601,2.01E-12,-1.313348905,,,,
Cers6,1.21E-73,-0.394237251,0.02,0.21,3.89E-69,-1.314247738,,,,
Plekha1,3.14E-15,-0.394954268,0.479,0.565,1.01E-10,-1.314901079,,,,
Bmpr1b,6.62E-46,-0.399288609,0.027,0.163,2.13E-41,-1.318857424,,,,
Tsc22d2,3.10E-23,-0.400537344,0.76,0.853,1.00E-18,-1.319999464,,,,
Atp5g3,9.40E-74,-0.400675052,0.018,0.206,3.03E-69,-1.320125467,,,,
Lrrc58,3.12E-67,-0.401741053,0.039,0.236,1.01E-62,-1.321101262,,,,
Abca3,5.14E-56,-0.402456183,0.086,0.293,1.66E-51,-1.321756282,,,,
Itgb8,1.33E-66,-0.40478782,0.002,0.15,4.30E-62,-1.323894188,,,,
Ddx5,1.37E-22,-0.405275782,0.43,0.598,4.43E-18,-1.324342044,,,,
Clic4,7.25E-27,-0.408497696,0.187,0.347,2.34E-22,-1.32730295,,,,
Gpc5,4.86E-35,-0.412192439,0.026,0.139,1.57E-30,-1.33070653,,,,
Alcam,1.37E-68,-0.412356441,0.007,0.168,4.42E-64,-1.33085781,,,,
Galnt11,1.67E-46,-0.416581968,0.042,0.195,5.40E-42,-1.33476149,,,,
Rsrp1,2.78E-13,-0.417040416,0.444,0.537,8.98E-09,-1.335185707,,,,
Mtss1,4.45E-42,-0.417866288,0.206,0.428,1.43E-37,-1.335950254,,,,
Rpl17,1.37E-41,-0.419254095,0.025,0.149,4.43E-37,-1.337235996,,,,
Slc12a6,6.14E-23,-0.422087442,0.225,0.371,1.98E-18,-1.339864809,,,,
Aldh4a1,1.79E-91,-0.428017836,0.013,0.23,5.78E-87,-1.345383842,,,,
Dennd5b,3.52E-60,-0.42841674,0.066,0.274,1.14E-55,-1.34575589,,,,
Slc30a9,1.88E-19,-0.429575304,0.394,0.521,6.06E-15,-1.346837041,,,,
Ndufa4,7.46E-65,-0.432062813,0.019,0.189,2.41E-60,-1.349161274,,,,
Cox6c,7.20E-62,-0.43414214,0,0.135,2.32E-57,-1.351107195,,,,
Cflar,6.40E-72,-0.436528765,0.014,0.193,2.06E-67,-1.353344157,,,,
Pdlim5,4.62E-26,-0.437511825,0.282,0.437,1.49E-21,-1.354266647,,,,
Crot,2.78E-83,-0.438928377,0.044,0.281,8.97E-79,-1.355597026,,,,
Hspa5,1.77E-81,-0.442020751,0.028,0.242,5.71E-77,-1.358505824,,,,
Pdzrn3,1.10E-35,-0.44212234,0.296,0.511,3.55E-31,-1.358601489,,,,
Scd2,4.32E-35,-0.446740599,0.083,0.232,1.39E-30,-1.362957521,,,,
Srsf5,6.45E-17,-0.447766312,0.191,0.302,2.08E-12,-1.363926887,,,,
Slc16a10,7.28E-23,-0.448005424,0.304,0.446,2.35E-18,-1.364152963,,,,
Gm26917,2.36E-18,-0.449635159,0.579,0.688,7.62E-14,-1.365694845,,,,
Fam214a,3.92E-26,-0.45088925,0.455,0.62,1.26E-21,-1.366882518,,,,
Nus1,1.56E-94,-0.45234762,0.011,0.231,5.04E-90,-1.36826495,,,,
Tox3,2.37E-30,-0.455268081,0.733,0.854,7.65E-26,-1.371037547,,,,
Tdrd3,4.39E-30,-0.463011824,0.797,0.868,1.42E-25,-1.37841645,,,,
Ranbp3l,2.14E-27,-0.468233582,0.24,0.405,6.92E-23,-1.383414595,,,,
Pank1,9.23E-49,-0.470616195,0.122,0.328,2.98E-44,-1.385701194,,,,
Zbtb20,2.95E-49,-0.476086754,0.88,0.954,9.52E-45,-1.390965612,,,,
Cables1,7.36E-18,-0.478408176,0.449,0.558,2.37E-13,-1.393205599,,,,
Cyb5a,1.10E-90,-0.483187803,0,0.195,3.55E-86,-1.397828923,,,,
Dock9,1.09E-46,-0.484639177,0.192,0.415,3.51E-42,-1.399235869,,,,
Sfrp1,8.74E-12,-0.484752539,0.305,0.392,2.82E-07,-1.399345819,,,,
Atp5a1,5.63E-45,-0.486076388,0.108,0.302,1.82E-40,-1.400630479,,,,
Col4a3,4.56E-44,-0.488048577,0.607,0.835,1.47E-39,-1.402546475,,,,
Cat,8.02E-83,-0.491474129,0.016,0.22,2.59E-78,-1.405880655,,,,
Ptma,2.61E-74,-0.49355722,0.003,0.17,8.43E-70,-1.407912056,,,,
Klhl3,6.49E-47,-0.493570541,0.909,0.959,2.10E-42,-1.407925056,,,,
Fxyd2,3.35E-38,-0.495853176,0.393,0.628,1.08E-33,-1.410154441,,,,
A330023F24Rik,1.61E-46,-0.495877122,0.2,0.419,5.21E-42,-1.410177847,,,,
Atp5l,3.27E-49,-0.496861686,0.043,0.203,1.05E-44,-1.411140548,,,,
Slc22a23,1.51E-20,-0.498617315,0.44,0.55,4.88E-16,-1.412858823,,,,
Nr1h4,3.76E-46,-0.499097189,0,0.101,1.21E-41,-1.413328851,,,,
Abat,2.80E-68,-0.501024194,0.049,0.253,9.04E-64,-1.415217894,,,,
Lgr4,6.49E-35,-0.504336164,0.488,0.691,2.09E-30,-1.418470516,,,,
Nuak2,1.88E-24,-0.505794126,0.161,0.307,6.07E-20,-1.419904723,,,,
Gm19951,4.96E-28,-0.511645348,0.393,0.57,1.60E-23,-1.425675206,,,,
Nox4,1.38E-79,-0.517872834,0,0.172,4.46E-75,-1.431842526,,,,
Nceh1,9.66E-101,-0.528793805,0,0.215,3.12E-96,-1.442722473,,,,
Foxo1,7.35E-52,-0.529185545,0.229,0.48,2.37E-47,-1.443114274,,,,
Cltrn,1.45E-90,-0.532360092,0.013,0.227,4.66E-86,-1.446293239,,,,
Tns1,1.08E-39,-0.53449406,0.598,0.779,3.48E-35,-1.448434113,,,,
Ppp1r1a,7.58E-29,-0.54198609,0.433,0.571,2.44E-24,-1.455975511,,,,
Atp2a2,2.36E-42,-0.545287201,0.326,0.558,7.60E-38,-1.459310824,,,,
Gphn,6.02E-56,-0.547681104,0.883,0.952,1.94E-51,-1.461734308,,,,
Dleu2,4.53E-50,-0.549392878,0.215,0.46,1.46E-45,-1.463469702,,,,
Adhfe1,1.44E-52,-0.550253818,0.148,0.365,4.64E-48,-1.4643433,,,,
Tanc2,2.19E-34,-0.554125291,0.425,0.626,7.07E-30,-1.468278143,,,,
Arhgap15,1.00E-85,-0.560037131,0,0.185,3.24E-81,-1.474307161,,,,
Rbms3,5.63E-67,-0.561764982,0.018,0.193,1.82E-62,-1.476073931,,,,
Rps29,4.18E-71,-0.564840657,0,0.155,1.35E-66,-1.479224122,,,,
Col5a2,5.80E-09,-0.564899207,0.122,0.191,0.000187189,-1.479284156,,,,
H3f3b,5.54E-121,-0.57691842,0.004,0.265,1.79E-116,-1.491659675,,,,
Srsf2,1.13E-58,-0.582482762,0.073,0.275,3.64E-54,-1.497423979,,,,
Picalm,8.39E-43,-0.591004645,0.334,0.548,2.71E-38,-1.506295316,,,,
Ppara,8.45E-85,-0.597582248,0,0.183,2.73E-80,-1.513178568,,,,
Igfbp7,1.59E-59,-0.598916593,0.522,0.798,5.12E-55,-1.51457875,,,,
Plcb1,1.12E-55,-0.600380435,0.018,0.168,3.61E-51,-1.51611631,,,,
Pax8,2.18E-101,-0.6115246,0.078,0.38,7.03E-97,-1.52787297,,,,
Umod,8.22E-46,-0.617536975,0.125,0.335,2.65E-41,-1.534253607,,,,
Bmp6,2.24E-101,-0.627737097,0,0.216,7.23E-97,-1.545139503,,,,
Tpt1,6.48E-67,-0.627884621,0,0.146,2.09E-62,-1.54529751,,,,
Cyp2j11,1.02E-35,-0.629263604,0.348,0.542,3.29E-31,-1.54677527,,,,
Osbpl9,5.93E-47,-0.636768116,0.307,0.537,1.91E-42,-1.554842142,,,,
Rida,1.51E-75,-0.6369214,0.058,0.289,4.88E-71,-1.555007351,,,,
Msra,3.08E-101,-0.648868527,0.011,0.245,9.94E-97,-1.567938015,,,,
Rps24,8.06E-89,-0.670746047,0,0.191,2.60E-84,-1.591895957,,,,
Fnip2,8.44E-80,-0.689898716,0.088,0.353,2.72E-75,-1.613170262,,,,
Igf1r,2.49E-40,-0.698692167,0.4,0.606,8.02E-36,-1.623032813,,,,
Eps8,1.71E-118,-0.703547356,0.006,0.265,5.50E-114,-1.628504104,,,,
Aldh6a1,3.23E-130,-0.716280286,0.039,0.36,1.04E-125,-1.64294056,,,,
Sult1d1,4.61E-122,-0.732348128,0,0.256,1.49E-117,-1.661340888,,,,
Glud1,2.47E-102,-0.73933905,0.057,0.345,7.97E-98,-1.669410847,,,,
Fggy,7.08E-102,-0.745765781,0.001,0.22,2.29E-97,-1.676864111,,,,
Oxr1,4.96E-122,-0.77968241,0.019,0.302,1.60E-117,-1.716752911,,,,
Osbpl8,1.02E-105,-0.783347784,0.003,0.233,3.30E-101,-1.721120114,,,,
Eef1a1,2.26E-91,-0.838075176,0.002,0.202,7.28E-87,-1.787663474,,,,
Gpc4,1.16E-99,-0.843644865,0.149,0.493,3.73E-95,-1.794578292,,,,
Slc5a12,2.44E-82,-0.845318447,0,0.178,7.86E-78,-1.79666128,,,,
Slc15a2,1.61E-74,-0.845433069,0.249,0.53,5.21E-70,-1.79680403,,,,
Snx29,2.70E-76,-0.861055948,0.092,0.349,8.71E-72,-1.816367273,,,,
Nhs,5.26E-96,-0.879297732,0,0.205,1.70E-91,-1.839479671,,,,
Fut9,2.44E-82,-0.896069524,0,0.178,7.86E-78,-1.860988995,,,,
Kl,3.39E-59,-0.903960817,0.383,0.613,1.09E-54,-1.871196175,,,,
Camk1d,5.93E-135,-0.909309018,0.776,0.957,1.91E-130,-1.878145741,,,,
Trps1,7.91E-75,-0.923613169,0.428,0.703,2.55E-70,-1.896859955,,,,
Spp1,4.18E-109,-1.00259492,0.052,0.353,1.35E-104,-2.003600559,,,,
Cdk8,4.75E-103,-1.01045971,0.525,0.809,1.53E-98,-2.014552929,,,,
Pik3c2g,3.65E-161,-1.012147392,0,0.328,1.18E-156,-2.016910956,,,,
Slc4a4,4.16E-85,-1.024418805,0,0.183,1.34E-80,-2.034139758,,,,
Slc25a21,1.81E-100,-1.027552917,0.018,0.258,5.85E-96,-2.038563528,,,,
Plxdc2,9.55E-134,-1.10973204,0.044,0.375,3.08E-129,-2.158055607,,,,
Slc8a1,2.19E-42,-1.113874142,0.783,0.922,7.07E-38,-2.164260475,,,,
AY036118,1.14E-103,-1.161271915,0.196,0.531,3.69E-99,-2.236545201,,,,
Calb1,2.05E-54,-1.170471468,0.428,0.658,6.61E-50,-2.250852421,,,,
Sugct,2.45E-136,-1.226154992,0.058,0.407,7.90E-132,-2.339426645,,,,
Chpt1,3.83E-226,-1.673993834,0.005,0.45,1.24E-221,-3.190967321,,,,
Ghr,8.44E-143,-1.772995862,0.022,0.346,2.72E-138,-3.41762916,,,,
Cmss1,0,-1.961198481,0.722,0.979,0,-3.893853162,,,,
Lars2,1.45E-277,-2.085226041,0.103,0.675,4.66E-273,-4.24341577,,,,
Gm42418,0,-2.197047471,0.924,1,0,-4.585399621,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
