Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down,,,,,,
Smg1,1.38E-09,-0.40309535,0.523,0.789,4.45E-05,-1.322341998,,,,,,,,,,
Pkd2,4.43E-15,-0.403908274,0.006,0.192,1.43E-10,-1.323087316,,,,,,,,,,
Syncrip,4.21E-07,-0.405064054,0.274,0.487,0.01357745,-1.3241477,,,,,,,,,,
Ctnnd1,4.87E-09,-0.405202082,0.052,0.2,0.000157065,-1.324274391,,,,,,,,,,
Naaladl2,5.41E-08,-0.405995107,0.074,0.222,0.001746809,-1.325002523,,,,,,,,,,
Sim1,2.00E-10,-0.406281047,0.006,0.136,6.46E-06,-1.325265163,,,,,,,,,,
Lpp,1.26E-07,-0.406281987,0.458,0.679,0.004051529,-1.325266027,,,,,,,,,,
Zfp507,6.04E-07,-0.406326172,0.048,0.168,0.019480559,-1.325306615,,,,,,,,,,
Veph1,5.67E-09,-0.406339955,0.003,0.11,0.00018279,-1.325319277,,,,,,,,,,
Gpc4,8.88E-11,-0.406973974,0.003,0.132,2.87E-06,-1.325901841,,,,,,,,,,
Kl,9.35E-09,-0.408067595,0.042,0.181,0.000301759,-1.326907309,,,,,,,,,,
Rcbtb1,6.96E-07,-0.40914422,0.071,0.205,0.022444971,-1.327897896,,,,,,,,,,
Stx7,1.18E-06,-0.409627179,0.197,0.366,0.037942516,-1.3283425,,,,,,,,,,
Dennd5b,4.56E-07,-0.410264737,0.274,0.487,0.014699591,-1.328929652,,,,,,,,,,
Nr1h4,1.24E-16,-0.410583776,0.016,0.233,4.01E-12,-1.329223566,,,,,,,,,,
Bmpr2,3.11E-07,-0.412789414,0.09,0.234,0.010026534,-1.331257279,,,,,,,,,,
Trp53bp2,1.43E-06,-0.413622513,0.113,0.251,0.046238216,-1.332026249,,,,,,,,,,
Mtor,1.07E-07,-0.415467115,0.106,0.26,0.003449363,-1.333730442,,,,,,,,,,
Hprt,4.86E-07,-0.41563305,0.071,0.201,0.01567096,-1.333883853,,,,,,,,,,
Arhgap29,9.91E-09,-0.415720458,0.023,0.147,0.000319897,-1.333964671,,,,,,,,,,
Ankrd13c,3.82E-07,-0.41765023,0.223,0.412,0.012319296,-1.335750197,,,,,,,,,,
Aco1,5.64E-07,-0.418001264,0.061,0.181,0.018186571,-1.336075249,,,,,,,,,,
Acer3,2.32E-08,-0.418405454,0.094,0.258,0.000748966,-1.336449621,,,,,,,,,,
Acaca,4.08E-07,-0.420570228,0.142,0.31,0.01315597,-1.338456477,,,,,,,,,,
Specc1l,3.60E-08,-0.42210912,0.135,0.319,0.001162479,-1.339884942,,,,,,,,,,
Ddah1,1.59E-15,-0.423072927,0.01,0.203,5.13E-11,-1.340780365,,,,,,,,,,
Unc5c,9.40E-13,-0.423253152,0.052,0.251,3.03E-08,-1.340947869,,,,,,,,,,
Slc13a1,6.77E-21,-0.423541149,0.026,0.295,2.18E-16,-1.341215582,,,,,,,,,,
Slc25a36,1.99E-08,-0.42371333,0.19,0.386,0.000641333,-1.341375661,,,,,,,,,,
Mtus1,2.95E-12,-0.424706521,0.042,0.227,9.53E-08,-1.342299419,,,,,,,,,,
Crtam,1.34E-06,-0.424718439,0.016,0.108,0.043322834,-1.342310507,,,,,,,,,,
Nmrk1,1.43E-12,-0.425077666,0.01,0.17,4.62E-08,-1.34264478,,,,,,,,,,
Slc22a5,3.51E-13,-0.425401146,0.01,0.176,1.13E-08,-1.342945862,,,,,,,,,,
Slc22a23,4.27E-10,-0.428690078,0.023,0.165,1.38E-05,-1.346010886,,,,,,,,,,
Fnip2,2.08E-15,-0.430552561,0.026,0.238,6.71E-11,-1.347749674,,,,,,,,,,
Immp2l,9.52E-14,-0.430584974,0.526,0.839,3.07E-09,-1.347779954,,,,,,,,,,
Rbm3,4.07E-08,-0.431612804,0.061,0.201,0.001312994,-1.348740506,,,,,,,,,,
Timp3,5.72E-14,-0.431846061,0.216,0.507,1.85E-09,-1.348958589,,,,,,,,,,
Ciita,3.46E-07,-0.432191572,0.239,0.445,0.011171969,-1.349281691,,,,,,,,,,
Osbpl8,3.35E-12,-0.43528796,0.406,0.723,1.08E-07,-1.3521807,,,,,,,,,,
App,1.25E-09,-0.437122904,0.358,0.601,4.04E-05,-1.353901614,,,,,,,,,,
Tmcc3,1.93E-07,-0.437365196,0.258,0.445,0.006238108,-1.354129012,,,,,,,,,,
Pigr,1.24E-08,-0.437802616,0.055,0.201,0.000398539,-1.354539642,,,,,,,,,,
Parp8,4.47E-08,-0.438029622,0.239,0.465,0.001440975,-1.354752794,,,,,,,,,,
Angpt1,2.05E-10,-0.438108803,0.016,0.158,6.61E-06,-1.35482715,,,,,,,,,,
Diaph2,2.79E-09,-0.438221043,0.484,0.749,8.99E-05,-1.354932558,,,,,,,,,,
Phyhipl,1.44E-14,-0.439302715,0.006,0.187,4.65E-10,-1.355948811,,,,,,,,,,
Sell,1.45E-07,-0.439647278,0.097,0.258,0.004678872,-1.356272695,,,,,,,,,,
Bckdhb,2.82E-07,-0.43991278,0.142,0.302,0.009103332,-1.356522315,,,,,,,,,,
Bcl2l1,2.14E-08,-0.440517222,0.077,0.229,0.000689909,-1.357090773,,,,,,,,,,
Slc30a9,9.67E-10,-0.440690275,0.165,0.375,3.12E-05,-1.357253567,,,,,,,,,,
Spata5,1.98E-07,-0.442204896,0.232,0.441,0.00637952,-1.358679235,,,,,,,,,,
Cyp7b1,1.24E-13,-0.44384199,0.003,0.167,4.00E-09,-1.360221867,,,,,,,,,,
Nop58,7.85E-07,-0.445619414,0.081,0.216,0.025334407,-1.361898716,,,,,,,,,,
Cpeb4,9.72E-10,-0.445664161,0.219,0.438,3.14E-05,-1.361940957,,,,,,,,,,
Myo10,2.17E-14,-0.448499092,0.013,0.196,7.01E-10,-1.364619835,,,,,,,,,,
Vmp1,1.23E-08,-0.448893588,0.084,0.247,0.000395367,-1.364993034,,,,,,,,,,
Mylk,7.03E-14,-0.449410283,0.006,0.176,2.27E-09,-1.365481988,,,,,,,,,,
Dmd,1.48E-06,-0.449690215,0.029,0.126,0.047786605,-1.365746963,,,,,,,,,,
Scmh1,2.45E-08,-0.449962111,0.106,0.277,0.000791021,-1.366004382,,,,,,,,,,
Usf2,3.48E-07,-0.451553854,0.077,0.209,0.011231435,-1.367512342,,,,,,,,,,
Col4a1,2.61E-08,-0.451874331,0.039,0.165,0.000842732,-1.367816152,,,,,,,,,,
Lmbrd2,5.38E-10,-0.451981391,0.084,0.271,1.73E-05,-1.36791766,,,,,,,,,,
Aoah,2.08E-13,-0.454360257,0.035,0.227,6.70E-09,-1.370175085,,,,,,,,,,
Gclc,9.11E-07,-0.454433806,0.103,0.24,0.029393467,-1.370244939,,,,,,,,,,
Mrps6,7.66E-11,-0.455847995,0.023,0.172,2.47E-06,-1.371588768,,,,,,,,,,
Myo18a,4.49E-07,-0.456767306,0.09,0.223,0.014490626,-1.372463047,,,,,,,,,,
Sh3d19,6.23E-14,-0.458133731,0.013,0.194,2.01E-09,-1.373763569,,,,,,,,,,
Pcnt,3.45E-08,-0.458332729,0.084,0.245,0.001114637,-1.373953072,,,,,,,,,,
Tcf7,5.75E-08,-0.460061998,0.087,0.253,0.001855773,-1.375600932,,,,,,,,,,
Swap70,6.44E-07,-0.460205065,0.274,0.473,0.020780766,-1.375737352,,,,,,,,,,
Shb,3.66E-11,-0.460420729,0.006,0.145,1.18E-06,-1.375943022,,,,,,,,,,
Prdm5,6.56E-10,-0.461053354,0.006,0.128,2.12E-05,-1.376546508,,,,,,,,,,
Atp2a2,9.00E-13,-0.462200435,0.242,0.515,2.90E-08,-1.37764143,,,,,,,,,,
Slc7a7,3.40E-07,-0.462862302,0.065,0.19,0.010958392,-1.378273598,,,,,,,,,,
Zmat3,1.47E-06,-0.462886726,0.039,0.145,0.047330153,-1.378296931,,,,,,,,,,
Kif23,6.97E-07,-0.465004683,0.019,0.115,0.022483372,-1.380321834,,,,,,,,,,
Cadps2,1.91E-10,-0.465073846,0.013,0.148,6.15E-06,-1.380388009,,,,,,,,,,
Pcsk5,2.41E-14,-0.46627304,0.01,0.19,7.76E-10,-1.381535889,,,,,,,,,,
Ireb2,2.63E-08,-0.467304871,0.187,0.385,0.000849289,-1.382524331,,,,,,,,,,
Kmo,9.65E-10,-0.467438719,0.026,0.161,3.11E-05,-1.382652602,,,,,,,,,,
Igfbp3,2.74E-09,-0.467453503,0.039,0.183,8.84E-05,-1.382666772,,,,,,,,,,
Ifi209,1.07E-06,-0.468509759,0.077,0.214,0.034604662,-1.38367945,,,,,,,,,,
St8sia1,2.33E-09,-0.469684604,0.065,0.227,7.50E-05,-1.384806695,,,,,,,,,,
Arl4c,4.99E-07,-0.469842036,0.042,0.159,0.016107233,-1.384957818,,,,,,,,,,
Prkaa2,5.32E-13,-0.469950539,0.013,0.179,1.72E-08,-1.385061982,,,,,,,,,,
Tspan9,4.40E-07,-0.470242391,0.023,0.123,0.01420511,-1.385342203,,,,,,,,,,
Ccser1,2.73E-12,-0.47251679,0.09,0.302,8.80E-08,-1.387527909,,,,,,,,,,
Rab11fip3,1.63E-13,-0.473081837,0.003,0.167,5.26E-09,-1.388071455,,,,,,,,,,
Gria3,4.48E-12,-0.474094763,0.003,0.148,1.45E-07,-1.389046372,,,,,,,,,,
Brd8,1.37E-07,-0.474149122,0.158,0.333,0.00443548,-1.389098711,,,,,,,,,,
Acox1,1.04E-17,-0.4749265,0.026,0.264,3.34E-13,-1.38984741,,,,,,,,,,
Tns1,1.26E-07,-0.475128811,0.006,0.101,0.004074716,-1.390042324,,,,,,,,,,
Ugt8a,7.66E-15,-0.476070324,0.006,0.189,2.47E-10,-1.390949772,,,,,,,,,,
Usp24,5.30E-11,-0.476213849,0.339,0.61,1.71E-06,-1.391088156,,,,,,,,,,
Keg1,2.28E-11,-0.477740294,0.01,0.156,7.37E-07,-1.392560777,,,,,,,,,,
Eif2s2,4.92E-09,-0.479390544,0.155,0.364,0.000158765,-1.394154592,,,,,,,,,,
Aass,4.63E-13,-0.481346429,0.042,0.236,1.50E-08,-1.396045951,,,,,,,,,,
Ror1,1.02E-13,-0.481695263,0.003,0.168,3.30E-09,-1.396383547,,,,,,,,,,
Impa1,2.98E-09,-0.481962641,0.065,0.22,9.61E-05,-1.396642365,,,,,,,,,,
Evi5,1.00E-08,-0.482081881,0.148,0.332,0.000323005,-1.396757804,,,,,,,,,,
Herpud1,1.96E-11,-0.482902891,0.042,0.216,6.34E-07,-1.397552899,,,,,,,,,,
Nrg1,4.52E-12,-0.485900487,0.003,0.148,1.46E-07,-1.400459718,,,,,,,,,,
Kif16b,2.40E-08,-0.488860363,0.161,0.341,0.000775576,-1.403335892,,,,,,,,,,
Pde4dip,5.90E-11,-0.492618485,0.068,0.251,1.90E-06,-1.406996251,,,,,,,,,,
Lcorl,1.41E-08,-0.493852294,0.294,0.526,0.000454814,-1.408200045,,,,,,,,,,
Mrtfb,9.90E-08,-0.494286759,0.139,0.315,0.003192559,-1.408624186,,,,,,,,,,
Hnrnpu,1.59E-10,-0.494497097,0.387,0.645,5.14E-06,-1.408829571,,,,,,,,,,
Pola1,1.35E-06,-0.495413265,0.135,0.293,0.043699887,-1.409724518,,,,,,,,,,
Ivns1abp,3.34E-12,-0.495453475,0.197,0.452,1.08E-07,-1.409763809,,,,,,,,,,
Srsf5,4.48E-09,-0.495588685,0.274,0.498,0.000144546,-1.409895939,,,,,,,,,,
Ipo11,7.78E-09,-0.496052151,0.116,0.3,0.000251128,-1.410348941,,,,,,,,,,
Agps,3.91E-10,-0.497051354,0.235,0.474,1.26E-05,-1.41132608,,,,,,,,,,
Skap2,6.75E-09,-0.497058277,0.239,0.454,0.000217831,-1.411332852,,,,,,,,,,
Col4a3,1.28E-10,-0.498612102,0.01,0.147,4.12E-06,-1.412853719,,,,,,,,,,
Hykk,1.01E-14,-0.498641326,0.003,0.179,3.25E-10,-1.412882338,,,,,,,,,,
Sestd1,2.99E-13,-0.499149224,0.023,0.203,9.64E-09,-1.413379828,,,,,,,,,,
Fas,5.74E-07,-0.502196544,0.087,0.229,0.018528619,-1.416368382,,,,,,,,,,
Slc16a12,5.82E-14,-0.502233337,0.013,0.194,1.88E-09,-1.416404505,,,,,,,,,,
Cobll1,1.98E-13,-0.504530908,0.242,0.526,6.39E-09,-1.418662004,,,,,,,,,,
Dock1,6.65E-07,-0.505469908,0.087,0.216,0.021470526,-1.419585662,,,,,,,,,,
Agap1,2.60E-14,-0.505874855,0.016,0.203,8.38E-10,-1.419984178,,,,,,,,,,
Pck1,3.78E-11,-0.505930441,0.187,0.423,1.22E-06,-1.42003889,,,,,,,,,,
Cdc42bpb,3.28E-10,-0.506956789,0.016,0.152,1.06E-05,-1.42104948,,,,,,,,,,
Mob3b,8.28E-08,-0.507097003,0.129,0.297,0.002670432,-1.421187596,,,,,,,,,,
Ighm,5.16E-08,-0.507359031,0.345,0.582,0.00166591,-1.421445742,,,,,,,,,,
Lars2,2.62E-15,-0.507824552,0.597,0.857,8.46E-11,-1.42190448,,,,,,,,,,
Gm12353,1.41E-08,-0.50981283,0.045,0.179,0.000456347,-1.423865457,,,,,,,,,,
Itgb6,6.98E-07,-0.510549422,0.032,0.137,0.022516269,-1.424592621,,,,,,,,,,
Cdc37l1,2.27E-10,-0.514189209,0.252,0.487,7.34E-06,-1.428191274,,,,,,,,,,
Errfi1,6.79E-08,-0.514357872,0.013,0.117,0.002189528,-1.428358252,,,,,,,,,,
Dnajc11,5.56E-07,-0.516076682,0.048,0.161,0.017937246,-1.430060995,,,,,,,,,,
Mical3,2.52E-08,-0.516982714,0.087,0.24,0.000814393,-1.430959375,,,,,,,,,,
Slc17a3,1.49E-11,-0.517658848,0.006,0.15,4.82E-07,-1.431630166,,,,,,,,,,
Ppargc1a,8.03E-18,-0.517732838,0.023,0.258,2.59E-13,-1.43170359,,,,,,,,,,
Shroom3,2.62E-11,-0.518645332,0.026,0.181,8.45E-07,-1.432609419,,,,,,,,,,
Kansl1l,4.43E-15,-0.519947567,0.268,0.581,1.43E-10,-1.433903133,,,,,,,,,,
Cyp2j5,8.94E-12,-0.519981155,0.119,0.344,2.88E-07,-1.433936517,,,,,,,,,,
Rras2,2.81E-09,-0.520413559,0.213,0.445,9.08E-05,-1.434366361,,,,,,,,,,
Nr6a1,3.35E-09,-0.520635462,0.123,0.308,0.000107992,-1.434587,,,,,,,,,,
Wwp1,6.53E-12,-0.520782207,0.294,0.549,2.11E-07,-1.434732927,,,,,,,,,,
Slc7a13,5.26E-13,-0.521248675,0.039,0.229,1.70E-08,-1.435196896,,,,,,,,,,
Slc15a2,2.68E-11,-0.521489404,0.061,0.251,8.64E-07,-1.435436394,,,,,,,,,,
Chka,1.33E-08,-0.522369344,0.135,0.31,0.000429315,-1.436312173,,,,,,,,,,
Tln2,2.30E-13,-0.523561852,0.006,0.17,7.41E-09,-1.437499896,,,,,,,,,,
Zscan26,4.19E-08,-0.524031751,0.058,0.194,0.001353032,-1.43796818,,,,,,,,,,
Slc16a14,1.28E-12,-0.524703392,0.01,0.168,4.14E-08,-1.438637776,,,,,,,,,,
Gm11342,1.54E-08,-0.525669572,0.081,0.244,0.000496888,-1.439601561,,,,,,,,,,
Taf1d,4.52E-08,-0.527390061,0.229,0.432,0.001458012,-1.441319385,,,,,,,,,,
Epb41l5,4.11E-16,-0.528718538,0.01,0.209,1.33E-11,-1.442647206,,,,,,,,,,
Flnb,8.43E-09,-0.529965827,0.097,0.262,0.000271937,-1.443894994,,,,,,,,,,
Cpq,4.14E-09,-0.532125506,0.219,0.44,0.000133552,-1.446058088,,,,,,,,,,
Macrod2,2.52E-18,-0.53237889,0.039,0.293,8.12E-14,-1.446312085,,,,,,,,,,
1700025G04Rik,1.55E-07,-0.536927445,0.1,0.258,0.004989619,-1.450879239,,,,,,,,,,
Thrb,6.41E-16,-0.537029917,0.029,0.247,2.07E-11,-1.450982296,,,,,,,,,,
Bmp2k,1.36E-09,-0.539434458,0.235,0.491,4.37E-05,-1.453402666,,,,,,,,,,
Tcf4,3.28E-07,-0.543969481,0.426,0.652,0.01056736,-1.457978536,,,,,,,,,,
Ncapg2,9.58E-07,-0.546785082,0.016,0.108,0.030893085,-1.460826743,,,,,,,,,,
Rere,4.98E-13,-0.547691556,0.503,0.815,1.61E-08,-1.461744898,,,,,,,,,,
Ptk2,8.90E-12,-0.548633215,0.126,0.353,2.87E-07,-1.462699303,,,,,,,,,,
Cpt1a,5.96E-14,-0.549307661,0.035,0.231,1.92E-09,-1.463383261,,,,,,,,,,
Syn3,1.46E-09,-0.549660553,0.003,0.117,4.70E-05,-1.463741256,,,,,,,,,,
Folh1,3.24E-14,-0.551833585,0.029,0.227,1.05E-09,-1.46594765,,,,,,,,,,
Fgd4,8.47E-14,-0.552626589,0.016,0.196,2.73E-09,-1.466753657,,,,,,,,,,
Ugt2b37,8.39E-17,-0.554624023,0.01,0.218,2.71E-12,-1.468785807,,,,,,,,,,
Pclo,7.74E-14,-0.555246504,0.003,0.17,2.50E-09,-1.469419682,,,,,,,,,,
Pah,8.15E-14,-0.556966258,0.084,0.306,2.63E-09,-1.471172338,,,,,,,,,,
Slc25a13,3.95E-16,-0.56171617,0.032,0.253,1.27E-11,-1.476023991,,,,,,,,,,
Cgnl1,2.52E-15,-0.562561573,0.026,0.233,8.12E-11,-1.476889177,,,,,,,,,,
Arhgap6,4.39E-13,-0.562562344,0.1,0.33,1.42E-08,-1.476889966,,,,,,,,,,
Egf,2.38E-18,-0.565295703,0.042,0.304,7.68E-14,-1.479690764,,,,,,,,,,
Rasal2,3.03E-12,-0.568300391,0.094,0.308,9.76E-08,-1.482775714,,,,,,,,,,
Nfyc,2.11E-12,-0.570761042,0.235,0.493,6.80E-08,-1.485306884,,,,,,,,,,
Wdfy3,9.74E-20,-0.571094151,0.058,0.344,3.14E-15,-1.485649872,,,,,,,,,,
Prkg1,5.57E-08,-0.571237318,0.148,0.328,0.001796477,-1.485797309,,,,,,,,,,
Tsc22d1,2.82E-14,-0.575092217,0.039,0.244,9.08E-10,-1.489772686,,,,,,,,,,
Pard3b,1.83E-09,-0.576841645,0.245,0.454,5.91E-05,-1.491580297,,,,,,,,,,
Vwa8,4.46E-10,-0.576855666,0.226,0.43,1.44E-05,-1.491594793,,,,,,,,,,
Stau2,9.06E-13,-0.577161835,0.023,0.196,2.92E-08,-1.491911373,,,,,,,,,,
Col4a4,5.51E-10,-0.577806776,0,0.115,1.78E-05,-1.492578465,,,,,,,,,,
Fer,1.91E-08,-0.578274068,0.045,0.179,0.000615753,-1.493061992,,,,,,,,,,
Yes1,3.70E-08,-0.579874254,0.058,0.196,0.001193728,-1.494718962,,,,,,,,,,
Dglucy,1.04E-06,-0.581435669,0.103,0.236,0.033681614,-1.496337559,,,,,,,,,,
Cpeb3,2.26E-14,-0.581628339,0.087,0.333,7.30E-10,-1.496537405,,,,,,,,,,
Gm47283,8.37E-13,-0.58320702,0.265,0.507,2.70E-08,-1.4981759,,,,,,,,,,
Dab2,1.64E-25,-0.584931567,0.039,0.361,5.30E-21,-1.499967838,,,,,,,,,,
Rev1,8.17E-09,-0.587050246,0.129,0.31,0.000263509,-1.502172244,,,,,,,,,,
Supt3,3.54E-10,-0.589588465,0.197,0.425,1.14E-05,-1.50481743,,,,,,,,,,
Osbpl6,1.70E-22,-0.589614378,0.013,0.288,5.47E-18,-1.504844459,,,,,,,,,,
Zc3h12c,1.02E-07,-0.59480087,0.119,0.284,0.003282417,-1.510264115,,,,,,,,,,
Cd22,2.42E-09,-0.599765485,0.19,0.414,7.82E-05,-1.515470202,,,,,,,,,,
Cubn,7.71E-18,-0.601107251,0.016,0.244,2.49E-13,-1.516880307,,,,,,,,,,
Pde1a,4.23E-13,-0.605446426,0.029,0.209,1.37E-08,-1.521449476,,,,,,,,,,
Gramd1b,1.86E-16,-0.605593035,0.174,0.491,5.99E-12,-1.521604096,,,,,,,,,,
Wwc2,3.42E-12,-0.607400383,0.045,0.225,1.10E-07,-1.523511493,,,,,,,,,,
Cryl1,1.23E-18,-0.607494206,0.016,0.253,3.97E-14,-1.523610575,,,,,,,,,,
Cdc14b,6.73E-07,-0.611396631,0.074,0.198,0.021716476,-1.527737451,,,,,,,,,,
Igkc,2.16E-11,-0.613274466,0.226,0.478,6.98E-07,-1.529727274,,,,,,,,,,
Tinag,2.63E-18,-0.619136537,0.023,0.258,8.50E-14,-1.535955626,,,,,,,,,,
Efna5,1.28E-06,-0.619894243,0.026,0.123,0.041250077,-1.536762525,,,,,,,,,,
Irf8,2.51E-07,-0.62270265,0.194,0.379,0.008108048,-1.539756961,,,,,,,,,,
Cers6,1.86E-12,-0.623573501,0.139,0.374,6.00E-08,-1.540686681,,,,,,,,,,
Arhgap42,1.09E-17,-0.625428508,0.01,0.229,3.53E-13,-1.54266896,,,,,,,,,,
Kcnj16,5.29E-24,-0.628518841,0.045,0.368,1.71E-19,-1.545976984,,,,,,,,,,
Plcb1,1.16E-28,-0.628892123,0.087,0.489,3.74E-24,-1.546377041,,,,,,,,,,
Magi1,1.59E-20,-0.632214064,0.01,0.262,5.14E-16,-1.549941822,,,,,,,,,,
Lactb2,1.28E-19,-0.645936059,0.084,0.383,4.14E-15,-1.564754212,,,,,,,,,,
Dock4,1.74E-15,-0.649818714,0.106,0.366,5.63E-11,-1.56897103,,,,,,,,,,
Cald1,5.10E-10,-0.654712143,0.058,0.218,1.64E-05,-1.574301805,,,,,,,,,,
Fmn1,1.09E-15,-0.655247019,0.061,0.297,3.51E-11,-1.574885583,,,,,,,,,,
Frrs1,1.32E-12,-0.656183024,0.058,0.249,4.25E-08,-1.575907683,,,,,,,,,,
Clybl,5.96E-15,-0.656471175,0.068,0.3,1.92E-10,-1.576222473,,,,,,,,,,
Pter,3.78E-15,-0.658104274,0.023,0.223,1.22E-10,-1.578007731,,,,,,,,,,
Shroom4,1.28E-21,-0.659442435,0.029,0.313,4.14E-17,-1.57947208,,,,,,,,,,
Sox6,4.52E-16,-0.661606911,0.023,0.234,1.46E-11,-1.581843541,,,,,,,,,,
Rbpms,2.14E-18,-0.663978064,0.01,0.238,6.90E-14,-1.58444553,,,,,,,,,,
Enpp2,6.92E-25,-0.665367131,0.006,0.3,2.23E-20,-1.585971813,,,,,,,,,,
Cenpp,1.39E-06,-0.668582229,0.055,0.17,0.044753154,-1.58951015,,,,,,,,,,
Itgb8,5.03E-14,-0.670183252,0.074,0.302,1.62E-09,-1.591275079,,,,,,,,,,
Prkag2,8.23E-15,-0.676962708,0.058,0.284,2.66E-10,-1.598770334,,,,,,,,,,
Ext1,1.40E-21,-0.677736428,0.274,0.676,4.53E-17,-1.599627988,,,,,,,,,,
Ppp2r3a,9.34E-22,-0.680411025,0.032,0.317,3.01E-17,-1.602596271,,,,,,,,,,
Plcl1,8.11E-22,-0.686929385,0.139,0.495,2.62E-17,-1.609853476,,,,,,,,,,
Cep85,5.94E-11,-0.687159348,0.106,0.297,1.92E-06,-1.610110105,,,,,,,,,,
Pik3c2g,5.89E-23,-0.691232989,0.01,0.286,1.90E-18,-1.614662889,,,,,,,,,,
Egfr,1.35E-18,-0.692826363,0.006,0.233,4.37E-14,-1.616447176,,,,,,,,,,
Myo6,7.88E-22,-0.695786026,0.09,0.412,2.54E-17,-1.619766693,,,,,,,,,,
Sgk1,1.55E-11,-0.70044426,0.006,0.148,4.99E-07,-1.625005116,,,,,,,,,,
Nfia,4.25E-20,-0.702330836,0.119,0.44,1.37E-15,-1.627131484,,,,,,,,,,
Far1,1.12E-14,-0.707917022,0.303,0.595,3.60E-10,-1.63344403,,,,,,,,,,
Bmp6,4.48E-12,-0.708463324,0.068,0.267,1.45E-07,-1.63406268,,,,,,,,,,
Tanc1,2.39E-07,-0.708681105,0.123,0.266,0.00772652,-1.634309367,,,,,,,,,,
Rufy3,3.69E-17,-0.715372249,0.087,0.352,1.19E-12,-1.641906813,,,,,,,,,,
Adk,2.26E-16,-0.716320309,0.277,0.581,7.28E-12,-1.642986139,,,,,,,,,,
Patj,1.04E-16,-0.731331703,0.055,0.297,3.36E-12,-1.660170832,,,,,,,,,,
Fgfr2,4.57E-23,-0.735090618,0.013,0.291,1.48E-18,-1.664502016,,,,,,,,,,
Slc12a1,5.85E-17,-0.745515705,0.055,0.308,1.89E-12,-1.676573469,,,,,,,,,,
Mecom,1.48E-20,-0.751343866,0.019,0.278,4.76E-16,-1.683360145,,,,,,,,,,
Dach1,1.07E-23,-0.75151225,0.029,0.335,3.45E-19,-1.68355663,,,,,,,,,,
Lrmda,8.90E-17,-0.753235507,0.187,0.498,2.87E-12,-1.68556879,,,,,,,,,,
Tead1,1.12E-21,-0.759714819,0.003,0.258,3.63E-17,-1.693155902,,,,,,,,,,
Acsm2,7.12E-14,-0.76225537,0.045,0.253,2.30E-09,-1.696140135,,,,,,,,,,
Plxdc2,9.10E-32,-0.763394299,0.061,0.471,2.94E-27,-1.697479674,,,,,,,,,,
Bbs9,6.05E-13,-0.765045241,0.203,0.474,1.95E-08,-1.699423289,,,,,,,,,,
Ank3,5.04E-12,-0.76568261,0.019,0.181,1.63E-07,-1.700174244,,,,,,,,,,
Gcnt1,3.18E-17,-0.767934281,0.097,0.372,1.03E-12,-1.702829845,,,,,,,,,,
Fam169b,2.54E-14,-0.774176263,0.326,0.647,8.20E-10,-1.71021329,,,,,,,,,,
Arhgef28,8.91E-24,-0.778108712,0.013,0.3,2.87E-19,-1.71488129,,,,,,,,,,
Ptprg,4.93E-22,-0.778565757,0.087,0.407,1.59E-17,-1.71542465,,,,,,,,,,
Sh3rf1,4.71E-23,-0.778593526,0.077,0.41,1.52E-18,-1.715457669,,,,,,,,,,
Atrnl1,1.53E-19,-0.78017579,0.171,0.493,4.95E-15,-1.717340115,,,,,,,,,,
Glis3,4.92E-22,-0.78289984,0.035,0.322,1.59E-17,-1.720585804,,,,,,,,,,
Lmo7,8.79E-23,-0.800821419,0.01,0.286,2.84E-18,-1.742092729,,,,,,,,,,
Arhgap24,7.57E-15,-0.801849257,0.374,0.687,2.44E-10,-1.743334314,,,,,,,,,,
Trio,1.45E-20,-0.803682362,0.061,0.359,4.67E-16,-1.745550823,,,,,,,,,,
Prkn,4.56E-26,-0.811693504,0.042,0.377,1.47E-21,-1.755270654,,,,,,,,,,
Fggy,9.08E-20,-0.817200741,0.023,0.275,2.93E-15,-1.761983899,,,,,,,,,,
Cmah,5.43E-19,-0.821397919,0.271,0.641,1.75E-14,-1.767117436,,,,,,,,,,
Cdk14,3.29E-10,-0.824513949,0.21,0.438,1.06E-05,-1.7709383,,,,,,,,,,
Gng12,7.17E-18,-0.826339939,0.165,0.462,2.31E-13,-1.77318116,,,,,,,,,,
Sugct,1.50E-20,-0.829211984,0.019,0.28,4.85E-16,-1.776714636,,,,,,,,,,
Gm42047,1.12E-12,-0.833279415,0.065,0.26,3.62E-08,-1.781730846,,,,,,,,,,
P3h2,5.10E-23,-0.834302546,0.023,0.31,1.64E-18,-1.782994862,,,,,,,,,,
Mast4,4.13E-20,-0.837288656,0.197,0.533,1.33E-15,-1.786689152,,,,,,,,,,
Pakap.1,1.20E-13,-0.840049462,0.132,0.359,3.86E-09,-1.790111513,,,,,,,,,,
Kcnj15,9.91E-16,-0.841257177,0.006,0.198,3.20E-11,-1.791610687,,,,,,,,,,
Slc6a6,3.78E-24,-0.844379833,0.087,0.438,1.22E-19,-1.795492756,,,,,,,,,,
Slc27a2,6.48E-17,-0.850641798,0.048,0.297,2.09E-12,-1.803302965,,,,,,,,,,
Slc25a21,1.61E-15,-0.86436012,0.013,0.211,5.20E-11,-1.820532026,,,,,,,,,,
Pkp4,1.36E-22,-0.869898495,0.139,0.476,4.40E-18,-1.827534315,,,,,,,,,,
